date,title,amount
2025-07-25,Amazonmktplc*Csliebana - Parcela 1/4,32.52
2025-07-25,Amazon - Parcela 1/11,32.79
2025-07-25,Amazon,37.81
2025-07-25,Amazon,148.00
2025-07-25,Livup *Livup,210.89
2025-07-24,Cinepolis Operadora de,84.69
2025-07-24,Supermercadinhos Sao L,44.96
2025-07-24,Domspeto,126.28
2025-07-23,Supermercado Cometa,111.48
2025-07-22,Raia Drogasil - NuPay,216.30
2025-07-21,Jangadas da Caponga Se - Parcela 1/3,359.83
2025-07-21,Jangadas da Caponga Se,719.84
2025-07-21,Tacilianagomesdea,75.90
2025-07-21,Allianz Seguros S/A,99.92
2025-07-18,Kina do Feijao Verde A,119.46
2025-07-18,Raiadrogasilsa,51.91
2025-07-18,Amazon - Parcela 1/9,55.58
2025-07-18,Assai Atacadista Lj239,90.29
2025-07-18,Supermercado Cometa,157.81
2025-07-17,Amazon,9.99
2025-07-17,Reginaldogril,155.80
2025-07-17,Amazon - Parcela 1/8,45.74
2025-07-17,Amazonmktplc*Abeameric,57.00
2025-07-17,Amazon - Parcela 1/10,241.80
2025-07-16,Raiadrogasilsa,33.43
2025-07-15,Casa Parente - Parcela 1/10,71.99
2025-07-15,Cavalcante Servicos de,720.00
2025-07-14,Cleilza M A Barreto,441.90
2025-07-13,Amazon,33.47
2025-07-13,Mercadopago *Pcpecomm - Parcela 1/8,29.38
2025-07-13,Amazon,276.78
2025-07-11,"Estorno de ""Mercadopago *Solareba""",-820.80
2025-07-11,Supermercado Cometa,188.74
2025-07-10,Cavalcante Servicos de,212.00
2025-07-09,Planeta Kids Fortaleza,100.00
2025-07-09,Mp *Melimais,24.90
2025-07-09,Amazon - Parcela 1/2,108.45
2025-07-08,Raia Drogasil - NuPay,217.45
2025-07-08,Hdi Seguros Sa 09/10,165.42
2025-07-07,Amazon,113.51
2025-07-07,Alecrins,94.82
2025-07-07,Cinepolis Operadora de,90.88
2025-07-06,Cumbuco Beach,108.24
2025-07-06,Amazon,65.61
2025-07-06,Domspeto,103.97
2025-07-06,Amazon - Parcela 1/4,190.20
2025-07-05,Amazon,21.43
2025-07-05,Amazon,48.77
2025-07-04,Farmaformula,156.91
2025-07-04,Microsoft*Subscription,35.99
2025-07-03,Amazon,21.60
2025-07-03,20.029.882 Rafaela So. lavagem do sofa - Parcela 1/4,101.25
2025-07-03,Delicias da Cecilia Go,54.00
2025-07-03,Unifame*Mensalidade10,939.50
2025-07-02,Amazon,22.79
2025-07-01,Escola Creche Planeta - Parcela 1/7,328.58
2025-07-01,Pagamento recebido,-9707.73
2025-06-30,Amazonmktplc*Lmaliment,51.50
2025-06-30,Hm Lanches,58.30
2025-06-30,Amazon,294.52
2025-06-30,Cea Frm 334 Ecpc - Parcela 1/3,56.66
2025-06-29,Ifd*Ifood Club,12.90
2025-06-29,Domspeto,162.58
2025-06-29,Espaco Hering Fortalez,49.99
2025-06-29,Manoelmessias,49.80
2025-06-28,Amazon,49.65
2025-06-27,Amazon Prime Canais,27.90
2025-06-26,Raiadrogasilsa,20.46
2025-06-25,Azul Seguro Auto - Parcela 10/10,163.22
2025-06-25,Hna*Oboticario - Parcela 4/4,20.01
2025-06-25,Raia Drogasil - NuPay - Parcela 2/2,48.82
2025-06-25,Mercadolivre*2produto - Parcela 11/12,28.16
2025-06-25,Amazon Marketplace - Parcela 7/9,51.77
2025-06-25,Cea Frm 334 Ecpc - Parcela 3/3,116.65
2025-06-25,Artex Outlet Fortaleza - Parcela 4/10,71.25
2025-06-25,Oticas Carol Igt - Parcela 2/5,200.00
2025-06-25,Amazon - Parcela 3/3,61.52
2025-06-25,Queima Diaria - Parcela 6/12,39.90
2025-06-25,Dell - Parcela 11/12,433.24
2025-06-25,Magalu*Magazineluiza - Parcela 9/9,63.81
2025-06-25,Produtos Globo - Parcela 9/12,9.90
2025-06-25,Cea Frm 334 Ecpc - Parcela 2/2,139.99
2025-06-25,Amazon - Parcela 6/6,56.36
2025-06-25,Dafiti*4596393690 - Parcela 5/5,71.99
2025-06-25,Fix Pay*Stalo Baterias - Parcela 4/7,107.85
2025-06-25,Mercadopago *Solareba,820.80
2025-06-25,Produtos Globo - Parcela 4/12,29.90
